Name : Name of Mech | Tons: Tonnage | BV: BV | PV: PV | Role: Role
Name : Baboon (Howler)   | Tons: 20 | BV: 645 | PV: 20 | Role: Missile Boat
Name : Baboon (Howler) 4 | Tons: 20 | BV: 506 | PV: 17 | Role: Scout
Name : Baboon (Howler) 5 | Tons: 20 | BV: 1,363 | PV: 29 | Role: Striker
Name : Cossack C-SK1 | Tons: 20 | BV: 465 | PV: 17 | Role: Striker
Name : Dasher (Fire Moth) A | Tons: 20 | BV: 639 | PV: 20 | Role: Scout
Name : Dasher (Fire Moth) B | Tons: 20 | BV: 1,064 | PV: 24 | Role: Striker
Name : Dasher (Fire Moth) C | Tons: 20 | BV: 741 | PV: 19 | Role: Missile Boat
Name : Dasher (Fire Moth) D | Tons: 20 | BV: 2,307 | PV: 30 | Role: Striker
Name : Dasher (Fire Moth) E | Tons: 20 | BV: 822 | PV: 18 | Role: Scout
Name : Dasher (Fire Moth) H | Tons: 20 | BV: 779 | PV: 25 | Role: Striker
Name : Dasher (Fire Moth) Prime | Tons: 20 | BV: 1,251 | PV: 28 | Role: Striker
Name : Fireball ALM-7D | Tons: 20 | BV: 385 | PV: 17 | Role: Scout
Name : Fireball ALM-8D | Tons: 20 | BV: 574 | PV: 20 | Role: Scout
Name : Fireball ALM-9D | Tons: 20 | BV: 527 | PV: 19 | Role: Scout
Name : Flea FLE-16 | Tons: 20 | BV: 506 | PV: 19 | Role: Scout
Name : Flea FLE-17 | Tons: 20 | BV: 510 | PV: 23 | Role: Striker
Name : Hornet HNT-151 | Tons: 20 | BV: 488 | PV: 14 | Role: Striker
Name : Hornet HNT-152 | Tons: 20 | BV: 475 | PV: 17 | Role: Striker
Name : Hornet HNT-161 | Tons: 20 | BV: 511 | PV: 14 | Role: Striker
Name : Hornet HNT-171 | Tons: 20 | BV: 535 | PV: 15 | Role: Striker
Name : Kabuto KBO-7A | Tons: 20 | BV: 524 | PV: 21 | Role: Striker
Name : Locust LCT-1E | Tons: 20 | BV: 553 | PV: 19 | Role: Scout
Name : Locust LCT-1L | Tons: 20 | BV: 474 | PV: 19 | Role: Scout
Name : Locust LCT-1M | Tons: 20 | BV: 424 | PV: 21 | Role: Missile Boat
Name : Locust LCT-1Vb | Tons: 20 | BV: 642 | PV: 23 | Role: Striker
Name : Locust LCT-3D | Tons: 20 | BV: 436 | PV: 16 | Role: Missile Boat
Name : Locust LCT-3M | Tons: 20 | BV: 522 | PV: 20 | Role: Scout
Name : Locust LCT-3S | Tons: 20 | BV: 483 | PV: 20 | Role: Striker
Name : Locust LCT-3V | Tons: 20 | BV: 490 | PV: 19 | Role: Scout
Name : Mercury MCY-97 | Tons: 20 | BV: 466 | PV: 24 | Role: Scout
Name : Mercury MCY-98 | Tons: 20 | BV: 553 | PV: 19 | Role: Scout
Name : Mercury MCY-99 | Tons: 20 | BV: 586 | PV: 22 | Role: Scout
Name : Piranha   | Tons: 20 | BV: 998 | PV: 25 | Role: Striker
Name : Snow Fox   | Tons: 20 | BV: 807 | PV: 27 | Role: Striker
Name : Snow Fox 2 | Tons: 20 | BV: 604 | PV: 23 | Role: Missile Boat
Name : Stinger C | Tons: 20 | BV: 592 | PV: 18 | Role: Scout
Name : Stinger C 2 | Tons: 20 | BV: 754 | PV: 18 | Role: Scout
Name : Stinger STG-3G | Tons: 20 | BV: 497 | PV: 14 | Role: Scout
