Name : Name of Mech | Tons: Tonnage | BV: BV | PV: PV | Role: Role | Date: Date
Name : Baboon (Howler)   | Tons: 20 | BV: 645 | PV: 20 | Role: Missile Boat | Date: 2871
Name : Baboon (Howler) 4 | Tons: 20 | BV: 506 | PV: 17 | Role: Scout | Date: 2877
Name : Baboon (Howler) 5 | Tons: 20 | BV: 1,363 | PV: 29 | Role: Striker | Date: 3053
Name : Cossack C-SK1 | Tons: 20 | BV: 465 | PV: 17 | Role: Striker | Date: 3060
Name : Dasher (Fire Moth) A | Tons: 20 | BV: 639 | PV: 20 | Role: Scout | Date: 2874
Name : Dasher (Fire Moth) B | Tons: 20 | BV: 1,064 | PV: 24 | Role: Striker | Date: 2874
Name : Dasher (Fire Moth) C | Tons: 20 | BV: 741 | PV: 19 | Role: Missile Boat | Date: 2874
Name : Dasher (Fire Moth) D | Tons: 20 | BV: 2,307 | PV: 30 | Role: Striker | Date: 2874
Name : Dasher (Fire Moth) E | Tons: 20 | BV: 822 | PV: 18 | Role: Scout | Date: 3059
Name : Dasher (Fire Moth) H | Tons: 20 | BV: 779 | PV: 25 | Role: Striker | Date: 3060
Name : Dasher (Fire Moth) Prime | Tons: 20 | BV: 1,251 | PV: 28 | Role: Striker | Date: 2874
Name : Fireball ALM-7D | Tons: 20 | BV: 385 | PV: 17 | Role: Scout | Date: 3053
Name : Fireball ALM-8D | Tons: 20 | BV: 574 | PV: 20 | Role: Scout | Date: 3054
Name : Fireball ALM-9D | Tons: 20 | BV: 527 | PV: 19 | Role: Scout | Date: 3054
Name : Flea FLE-16 | Tons: 20 | BV: 506 | PV: 19 | Role: Scout | Date: 3032
Name : Flea FLE-17 | Tons: 20 | BV: 510 | PV: 23 | Role: Striker | Date: 3049
Name : Hornet HNT-151 | Tons: 20 | BV: 488 | PV: 14 | Role: Striker | Date: 2760
Name : Hornet HNT-152 | Tons: 20 | BV: 475 | PV: 17 | Role: Striker | Date: 2997
Name : Hornet HNT-161 | Tons: 20 | BV: 511 | PV: 14 | Role: Striker | Date: 3052
Name : Hornet HNT-171 | Tons: 20 | BV: 535 | PV: 15 | Role: Striker | Date: 3051
Name : Kabuto KBO-7A | Tons: 20 | BV: 524 | PV: 21 | Role: Striker | Date: 3059
Name : Locust LCT-1E | Tons: 20 | BV: 553 | PV: 19 | Role: Scout | Date: 2811
Name : Locust LCT-1L | Tons: 20 | BV: 474 | PV: 19 | Role: Scout | Date: 3030
Name : Locust LCT-1M | Tons: 20 | BV: 424 | PV: 21 | Role: Missile Boat | Date: 2571
Name : Locust LCT-1Vb | Tons: 20 | BV: 642 | PV: 23 | Role: Striker | Date: 2610
Name : Locust LCT-3D | Tons: 20 | BV: 436 | PV: 16 | Role: Missile Boat | Date: 3049
Name : Locust LCT-3M | Tons: 20 | BV: 522 | PV: 20 | Role: Scout | Date: 3050
Name : Locust LCT-3S | Tons: 20 | BV: 483 | PV: 20 | Role: Striker | Date: 3049
Name : Locust LCT-3V | Tons: 20 | BV: 490 | PV: 19 | Role: Scout | Date: 3004
Name : Mercury MCY-97 | Tons: 20 | BV: 466 | PV: 24 | Role: Scout | Date: 3049
Name : Mercury MCY-98 | Tons: 20 | BV: 553 | PV: 19 | Role: Scout | Date: 2810
Name : Mercury MCY-99 | Tons: 20 | BV: 586 | PV: 22 | Role: Scout | Date: 2742
Name : Piranha   | Tons: 20 | BV: 998 | PV: 25 | Role: Striker | Date: 3051
Name : Snow Fox   | Tons: 20 | BV: 807 | PV: 27 | Role: Striker | Date: 3015
Name : Snow Fox 2 | Tons: 20 | BV: 604 | PV: 23 | Role: Missile Boat | Date: 3015
Name : Stinger C | Tons: 20 | BV: 592 | PV: 18 | Role: Scout | Date: 2832
Name : Stinger C 2 | Tons: 20 | BV: 754 | PV: 18 | Role: Scout | Date: 2838
Name : Stinger STG-3G | Tons: 20 | BV: 497 | PV: 14 | Role: Scout | Date: 2581
Name : Stinger STG-3Gb | Tons: 20 | BV: 674 | PV: 22 | Role: Striker | Date: 2720
Name : Stinger STG-5M | Tons: 20 | BV: 432 | PV: 15 | Role: Scout | Date: 3050
Name : Thorn THE-N1 | Tons: 20 | BV: 656 | PV: 14 | Role: Sniper | Date: 3051
Name : Thorn THE-Nb | Tons: 20 | BV: 740 | PV: 23 | Role: Striker | Date: 2743
Name : Thorn THE-S | Tons: 20 | BV: 510 | PV: 18 | Role: Striker | Date: 3035
Name : Thorn THE-T | Tons: 20 | BV: 500 | PV: 17 | Role: Striker | Date: 3038
Name : Wasp WSP-1D | Tons: 20 | BV: 403 | PV: 15 | Role: Scout | Date: 2823
Name : Wasp WSP-1K | Tons: 20 | BV: 376 | PV: 14 | Role: Scout | Date: 2818
Name : Wasp WSP-1L | Tons: 20 | BV: 335 | PV: 14 | Role: Scout | Date: 2799
Name : Wasp WSP-1S | Tons: 20 | BV: 423 | PV: 15 | Role: Scout | Date: 3049
Name : Wasp WSP-1W | Tons: 20 | BV: 373 | PV: 12 | Role: Scout | Date: 3009
Name : Wasp WSP-3M | Tons: 20 | BV: 394 | PV: 12 | Role: Scout | Date: 3051
Name : Wasp WSP-3W | Tons: 20 | BV: 342 | PV: 10 | Role: Scout | Date: 3050
