Name : Name of Mech | Tons: Tonnage | BV: BV | PV: PV | Role: Role
Name : Baboon (Howler) 5 | Tons: 20 | BV: 1,363 | PV: 29 | Role: Striker
Name : Dasher (Fire Moth) E | Tons: 20 | BV: 822 | PV: 18 | Role: Scout
Name : Dasher (Fire Moth) H | Tons: 20 | BV: 779 | PV: 25 | Role: Striker
Name : Piranha   | Tons: 20 | BV: 998 | PV: 25 | Role: Striker
Name : Fire Falcon A | Tons: 25 | BV: 822 | PV: 27 | Role: Striker
Name : Fire Falcon B | Tons: 25 | BV: 1,570 | PV: 28 | Role: Sniper
Name : Fire Falcon C | Tons: 25 | BV: 1,004 | PV: 34 | Role: Striker
Name : Fire Falcon D | Tons: 25 | BV: 826 | PV: 27 | Role: Striker
Name : Fire Falcon E | Tons: 25 | BV: 1,094 | PV: 27 | Role: Striker
Name : Fire Falcon Prime | Tons: 25 | BV: 1,451 | PV: 40 | Role: Striker
Name : Koshi (Mist Lynx) E | Tons: 25 | BV: 997 | PV: 32 | Role: Striker
Name : Koshi (Mist Lynx) H | Tons: 25 | BV: 982 | PV: 32 | Role: Striker
Name : Koshi (Mist Lynx) P | Tons: 25 | BV: 1,064 | PV: 23 | Role: Scout
Name : Locust IIC 5 | Tons: 25 | BV: 878 | PV: 27 | Role: Striker
Name : Hankyu (Arctic Cheetah) A | Tons: 30 | BV: 1,117 | PV: 32 | Role: Striker
Name : Hankyu (Arctic Cheetah) B | Tons: 30 | BV: 1,076 | PV: 28 | Role: Striker
Name : Hankyu (Arctic Cheetah) C | Tons: 30 | BV: 1,840 | PV: 37 | Role: Striker
Name : Hankyu (Arctic Cheetah) D | Tons: 30 | BV: 1,080 | PV: 30 | Role: Missile Boat
Name : Hankyu (Arctic Cheetah) Prime | Tons: 30 | BV: 1,334 | PV: 36 | Role: Striker
Name : Hellion A | Tons: 30 | BV: 1,543 | PV: 39 | Role: Missile Boat
Name : Hellion B | Tons: 30 | BV: 1,569 | PV: 38 | Role: Striker
Name : Hellion C | Tons: 30 | BV: 2,095 | PV: 43 | Role: Striker
Name : Hellion Prime | Tons: 30 | BV: 1,873 | PV: 43 | Role: Striker
Name : Pack Hunter   | Tons: 30 | BV: 1,369 | PV: 27 | Role: Striker
Name : Uller (Kit Fox) C | Tons: 30 | BV: 1,147 | PV: 27 | Role: Striker
Name : Uller (Kit Fox) E | Tons: 30 | BV: 1,415 | PV: 26 | Role: Striker
Name : Uller (Kit Fox) G | Tons: 30 | BV: 1,368 | PV: 30 | Role: Sniper
Name : Uller (Kit Fox) H | Tons: 30 | BV: 1,214 | PV: 30 | Role: Striker
Name : Uller (Kit Fox) J | Tons: 30 | BV: 1,178 | PV: 25 | Role: Striker
Name : Uller (Kit Fox) S | Tons: 30 | BV: 1,342 | PV: 27 | Role: Striker
Name : Uller (Kit Fox) W | Tons: 30 | BV: 1,431 | PV: 28 | Role: Sniper
Name : Vixen (Incubus) 3 | Tons: 30 | BV: 1,324 | PV: 36 | Role: Striker
Name : Cougar A | Tons: 35 | BV: 1,697 | PV: 40 | Role: Missile Boat
Name : Cougar B | Tons: 35 | BV: 1,774 | PV: 33 | Role: Sniper
Name : Cougar C | Tons: 35 | BV: 1,785 | PV: 35 | Role: Brawler
Name : Cougar D | Tons: 35 | BV: 1,309 | PV: 33 | Role: Sniper
Name : Cougar H | Tons: 35 | BV: 1,323 | PV: 33 | Role: Brawler
Name : Cougar Prime | Tons: 35 | BV: 1,485 | PV: 31 | Role: Sniper
Name : Jenner IIC   | Tons: 35 | BV: 1,047 | PV: 29 | Role: Striker
Name : Jenner IIC 2 | Tons: 35 | BV: 1,406 | PV: 26 | Role: Striker
Name : Jenner IIC 3 | Tons: 35 | BV: 788 | PV: 25 | Role: Striker
Name : Jenner IIC 4 | Tons: 35 | BV: 1,052 | PV: 24 | Role: Striker
Name : Peregrine (Horned Owl) 3 | Tons: 35 | BV: 1,545 | PV: 28 | Role: Sniper
Name : Puma (Adder) E | Tons: 35 | BV: 1,272 | PV: 31 | Role: Sniper
Name : Puma (Adder) H | Tons: 35 | BV: 1,453 | PV: 28 | Role: Brawler
Name : Puma (Adder) S | Tons: 35 | BV: 1,427 | PV: 38 | Role: Scout
Name : Puma (Adder) TC | Tons: 35 | BV: 1,247 | PV: 30 | Role: Striker
Name : Wolfhound IIC "Grinner" | Tons: 35 | BV: 1,579 | PV: 33 | Role: Striker
Name : Arctic Wolf   | Tons: 40 | BV: 1,330 | PV: 39 | Role: Striker
Name : Arctic Wolf 2 | Tons: 40 | BV: 1,511 | PV: 41 | Role: Striker
Name : Battle Cobra F | Tons: 40 | BV: 1,507 | PV: 29 | Role: Striker
Name : Battle Cobra H | Tons: 40 | BV: 1,592 | PV: 34 | Role: Striker
Name : Dragonfly (Viper) E | Tons: 40 | BV: 1,561 | PV: 38 | Role: Striker
Name : Griffin IIC 3 | Tons: 40 | BV: 1,532 | PV: 30 | Role: Striker
Name : Griffin IIC 4 | Tons: 40 | BV: 1,475 | PV: 30 | Role: Striker
Name : Lobo   | Tons: 40 | BV: 1,715 | PV: 32 | Role: Striker
Name : Phantom A | Tons: 40 | BV: 1,410 | PV: 43 | Role: Striker
Name : Phantom B | Tons: 40 | BV: 1,096 | PV: 34 | Role: Scout
Name : Phantom C | Tons: 40 | BV: 1,590 | PV: 51 | Role: Striker
Name : Phantom D | Tons: 40 | BV: 1,581 | PV: 41 | Role: Striker
Name : Phantom E | Tons: 40 | BV: 975 | PV: 27 | Role: Striker
Name : Phantom Prime | Tons: 40 | BV: 1,159 | PV: 37 | Role: Scout
Name : Pouncer A | Tons: 40 | BV: 2,081 | PV: 36 | Role: Missile Boat
Name : Pouncer B | Tons: 40 | BV: 1,836 | PV: 32 | Role: Sniper
Name : Pouncer C | Tons: 40 | BV: 1,653 | PV: 37 | Role: Striker
Name : Pouncer D | Tons: 40 | BV: 2,246 | PV: 33 | Role: Striker
Name : Pouncer E | Tons: 40 | BV: 1,632 | PV: 35 | Role: Striker
Name : Pouncer Prime | Tons: 40 | BV: 2,557 | PV: 31 | Role: Sniper
Name : Fenris (Ice Ferret) E | Tons: 45 | BV: 1,483 | PV: 41 | Role: Striker
Name : Fenris (Ice Ferret) H | Tons: 45 | BV: 1,619 | PV: 45 | Role: Striker
Name : Grendel (Mongrel) A | Tons: 45 | BV: 2,031 | PV: 48 | Role: Missile Boat
Name : Grendel (Mongrel) B | Tons: 45 | BV: 1,903 | PV: 45 | Role: Striker
Name : Grendel (Mongrel) C | Tons: 45 | BV: 1,465 | PV: 36 | Role: Striker
Name : Grendel (Mongrel) D | Tons: 45 | BV: 2,212 | PV: 43 | Role: Striker
Name : Grendel (Mongrel) E | Tons: 45 | BV: 1,806 | PV: 46 | Role: Striker
Name : Grendel (Mongrel) Prime | Tons: 45 | BV: 2,290 | PV: 46 | Role: Striker
Name : Shadow Cat C | Tons: 45 | BV: 2,199 | PV: 45 | Role: Striker
Name : Shadow Cat M | Tons: 45 | BV: 2,438 | PV: 40 | Role: Striker
Name : Shadow Cat TC | Tons: 45 | BV: 1,378 | PV: 35 | Role: Scout
Name : Shadow Hawk IIC 3 | Tons: 45 | BV: 1,471 | PV: 33 | Role: Striker
Name : Shadow Hawk IIC 4 | Tons: 45 | BV: 1,698 | PV: 37 | Role: Striker
Name : Black Hawk (Nova) E | Tons: 50 | BV: 2,078 | PV: 40 | Role: Skirmisher
Name : Black Hawk (Nova) H | Tons: 50 | BV: 1,832 | PV: 45 | Role: Skirmisher
Name : Black Hawk (Nova) S | Tons: 50 | BV: 2,056 | PV: 43 | Role: Skirmisher
Name : Hunchback IIC 2 | Tons: 50 | BV: 1,869 | PV: 29 | Role: Ambusher
Name : Nobori-nin (Huntsman) A | Tons: 50 | BV: 2,034 | PV: 37 | Role: Sniper
Name : Nobori-nin (Huntsman) B | Tons: 50 | BV: 2,156 | PV: 38 | Role: Skirmisher
Name : Nobori-nin (Huntsman) C | Tons: 50 | BV: 2,199 | PV: 43 | Role: Missile Boat
Name : Nobori-nin (Huntsman) D | Tons: 50 | BV: 2,007 | PV: 43 | Role: Skirmisher
Name : Nobori-nin (Huntsman) Prime | Tons: 50 | BV: 2,108 | PV: 42 | Role: Skirmisher
Name : Stalking Spider   | Tons: 50 | BV: 2,232 | PV: 39 | Role: Skirmisher
Name : Stalking Spider 2 | Tons: 50 | BV: 2,056 | PV: 37 | Role: Skirmisher
Name : Ursus   | Tons: 50 | BV: 1,778 | PV: 39 | Role: Brawler
Name : Black Lanner A | Tons: 55 | BV: 2,308 | PV: 50 | Role: Skirmisher
Name : Black Lanner B | Tons: 55 | BV: 1,961 | PV: 40 | Role: Missile Boat
Name : Black Lanner C | Tons: 55 | BV: 2,523 | PV: 52 | Role: Skirmisher
Name : Black Lanner D | Tons: 55 | BV: 1,809 | PV: 51 | Role: Skirmisher
Name : Black Lanner H | Tons: 55 | BV: 1,928 | PV: 48 | Role: Skirmisher
Name : Black Lanner Prime | Tons: 55 | BV: 2,268 | PV: 47 | Role: Skirmisher
Name : Hoplite C | Tons: 55 | BV: 1,736 | PV: 40 | Role: Brawler
Name : Ryoken (Stormcrow) (Attwater) | Tons: 55 | BV: 1,482 | PV: 32 | Role: Sniper
Name : Ryoken (Stormcrow) (Kotare) | Tons: 55 | BV: 2,382 | PV: 46 | Role: Skirmisher
Name : Ryoken (Stormcrow) E | Tons: 55 | BV: 2,110 | PV: 52 | Role: Striker
Name : Ryoken (Stormcrow) H | Tons: 55 | BV: 2,061 | PV: 42 | Role: Striker
Name : Ryoken (Stormcrow) I | Tons: 55 | BV: 2,319 | PV: 42 | Role: Sniper
Name : Ryoken (Stormcrow) P | Tons: 55 | BV: 2,213 | PV: 41 | Role: Striker
Name : Ryoken (Stormcrow) TC | Tons: 55 | BV: 2,373 | PV: 43 | Role: Skirmisher
Name : Stooping Hawk D | Tons: 55 | BV: 1,838 | PV: 48 | Role: Skirmisher
Name : Stooping Hawk E | Tons: 55 | BV: 1,674 | PV: 41 | Role: Skirmisher
Name : Hellfire   | Tons: 60 | BV: 2,114 | PV: 45 | Role: Brawler
Name : Predator   | Tons: 60 | BV: 1,754 | PV: 39 | Role: Skirmisher
Name : Vulture (Mad Dog) D | Tons: 60 | BV: 2,447 | PV: 48 | Role: Skirmisher
Name : Vulture (Mad Dog) DD | Tons: 60 | BV: 1,970 | PV: 41 | Role: Brawler
